video_id,labels
AAAUILHH,['16']
AAMFAANS,['102']
AAQNNZGK,"['7', '40']"
AATWKNPL,"['15', '78', '102']"
AAUJMBXG,"['100', '52']"
AAZYRVEI,"['133', '90', '68']"
ABCGQFYY,['133']
ABJROAMC,"['133', '102', '3']"
ABNDBVEI,"['48', '49']"
ABOQZLHH,['68']
ABPIMVEI,"['15', '128', '133', '90', '68', '135', '40', '2', '102']"
ABPPNZQJ,['2']
ABRMTNXN,"['98', '37']"
ABUHYUFF,['40']
ABZFVLHH,"['78', '68']"
ACCYTMYV,['68']
ACGGKVEI,"['40', '90']"
ACHIMGQD,['21']
ACRFBHGW,['102']
ACSHLEUL,"['112', '68']"
ACURLDSN,['102']
ACVTNHCU,['90']
ACXOPLSK,['68']
ACZKAVEI,"['102', '48']"
ACZOXHEB,"['71', '120']"
ACZWFFYS,['25']
ADCLMNPL,"['13', '123', '5']"
ADCMXAYR,['102']
ADMDGUXS,['68']
ADOKPUFF,"['40', '102', '68']"
ADRIOBSK,['123']
ADRQOIQR,"['102', '97', '1', '96', '62', '39']"
ADWVWELW,['58']
ADXAJHDU,['67']
ADYEAELW,['68']
AEADVBXG,"['48', '133', '68', '67', '102']"
AEKIJVEI,"['133', '102', '104']"
AEMQIFNJ,['40']
AEMZBKEW,['133']
AEPEDVEI,"['40', '90']"
AEQBKKRF,['78']
AERATXGD,"['116', '102']"
AEWAUPLS,"['90', '68', '40', '114', '2', '104', '102']"
AEXHEHCU,"['15', '102']"
AFEBIEUV,['78']
AFEGQBXG,"['133', '76']"
AFFSATFT,"['26', '47', '38', '133', '90', '27', '102']"
AFKUSTFT,"['26', '47', '38', '133', '90', '27', '102']"
AFRIMIFB,['40']
AFRSDBGU,"['40', '52']"
AFTOBFGA,"['69', '52', '128', '133', '67']"
AFUOPBXG,"['133', '15']"
AFXFUZIE,['40']
AGADQVEI,"['40', '133']"
AGBFVAEM,['2']
AGECUUDI,"['15', '68', '103', '2', '104']"
AGILRCNX,['102']
AGOWBLWC,"['40', '78', '68']"
AGQEDLHH,['123']
AGSPSMWW,['15']
AGXDIPKK,"['38', '133', '90', '46', '68', '67', '84', '104', '102']"
AGYEXNPL,"['15', '49']"
AHBIWVEI,"['40', '103']"
AHCFVOOZ,"['45', '68']"
AHDCQPTK,"['15', '102', '68']"
AHELHCEI,"['78', '102']"
AHENPRHW,['78']
AHOPPHCU,['102']
AHPRXAMC,['133']
AHUVVXDO,['116']
AHVHFUDI,"['68', '15', '2']"
AHZPAIFB,['68']
AHZPDHVR,"['40', '68']"
AIGJHVEI,"['15', '128', '133', '90', '68', '135', '40', '2', '104', '102']"
AIIJLPTK,['15']
AISRZVDY,['15']
AIVEHTFT,"['26', '47', '38', '96', '27']"
AIVNTSBA,"['133', '2']"
AIWNNLBD,"['40', '133']"
AJAEUNQN,['15']
AJCYBKDQ,['102']
AJDGHVEI,['133']
AJDLXVEI,['90']
AJHSNBXG,"['32', '104']"
AJINKLHH,['78']
AJJBHNQN,"['10', '78']"
AJWBBZJZ,['102']
AJZVJQFB,"['78', '68', '65']"
AKDIQPLS,"['68', '90', '133', '2']"
AKFEAGJU,['25']
AKIEHTKX,['48']
AKIGDMWW,['15']
AKKZDPLS,['48']
AKMWAKDQ,"['133', '15', '8']"
AKQIILWC,['40']
AKRYLKEW,['100']
AKVEINPL,"['13', '2']"
AKXNOBGG,['90']
AKZEKKWA,['2']
ALCBNLHH,"['7', '68']"
ALDUUIQR,"['102', '97', '8', '39', '120']"
ALHIBGJU,"['1', '52']"
ALHMRLHH,['68']
ALNVQLHH,"['102', '68']"
ALNZWOYV,['78']
ALOTZNCR,"['15', '123']"
ALQDVPTK,"['68', '15', '2']"
ALQRJHVR,['40']
ALTDMNCR,"['68', '102', '2']"
ALTQAEUL,['102']
ALXIWNCR,['102']
ALZAYIQR,"['102', '97', '1', '62', '39']"
ALZOTVEI,"['68', '33']"
AMENHOYV,"['23', '27']"
AMHDCTKX,"['40', '48']"
AMJKCVDY,['102']
AMLMQBXG,"['67', '102', '48', '68']"
AMRGEDFS,['78']
AMSMDDAL,"['7', '40']"
